VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio,UnitPurchasePrice,OrderSize,UnsoldInventoryValue
6213,MHW LTD,5737,Blue Chair Bay CocSpc Cream,13.38,16.99,750.0,32,428.16,41.0,696.5899999999999,237.85999999999999,32.27,9621.58,268.4299999999999,38.534862688238405,1.28125,1.6269385276532136,13.38,Medium,-120.42
3252,E & J GALLO WINERY,22363,Andre Moscato,3.56,5.99,750.0,120,427.2,85.0,492.65,74.87,9.54,61966.91,65.44999999999999,13.285293819141378,0.7083333333333334,1.1532069288389513,3.56,Large,124.60000000000001
7153,PINE STATE TRADING CO,27189,Jamieson R Double Lariat Cab,35.29,53.99,750.0,12,423.48,12.0,647.88,53.99,1.35,15884.82,224.39999999999998,34.63604371179848,1.0,1.529895154434684,35.29,Medium,0.0
8673,STE MICHELLE WINE ESTATES,39461,Stags Leap SLV Cab Svgn,69.07,104.99,750.0,6,414.42,8.0,839.9200000000001,419.96,0.9,15919.7,425.50000000000006,50.659586627297834,1.3333333333333333,2.0267361613821726,69.07000000000001,Small,-138.14
10754,PERFECTA WINES,21458,Ch Langoa Barton St Julien,45.63,67.99,750.0,9,410.67,7.0,475.92999999999995,339.95,0.78,28720.52,65.25999999999993,13.712100518983872,0.7777777777777778,1.1589110477999365,45.63,Small,91.26
2000,SOUTHERN WINE & SPIRITS NE,19969,Ch D'Issan 10 Brdx,81.81,125.99,750.0,5,409.05,6.0,755.9399999999999,251.98,0.67,19016.59,346.88999999999993,45.888562584332085,1.2,1.8480381371470478,81.81,Small,-81.81
6785,PALM BAY INTERNATIONAL INC,25204,Ch Rollan de By Medoc,17.0,24.99,750.0,24,408.0,26.0,649.74,549.78,2.86,13605.41,241.74,37.20565149136578,1.0833333333333333,1.5925,17.0,Medium,-34.0
6213,MHW LTD,3955,Wyborowa Vodka,13.59,16.99,1750.0,30,407.70000000000005,21.0,482.79,114.94999999999999,38.58,9621.58,75.08999999999997,15.55334617535574,0.7,1.1841795437821927,13.590000000000002,Medium,122.31
8892,TRINCHERO FAMILY ESTATES,26457,Luxury Edition Pnt Nr Rose S,8.49,12.99,750.0,48,407.52,37.0,480.63,233.82,4.13,11595.97,73.11000000000001,15.211285188190505,0.7708333333333334,1.1794022379269729,8.49,Large,93.39
1128,BROWN-FORMAN CORP,1550,Jack Daniels Tennessee Fire,2.91,3.99,100.0,139,404.49,174.0,694.26,279.3,18.12,68601.68,289.77,41.73796560366433,1.2517985611510791,1.7163835941556034,2.91,Large,-101.85000000000001
4425,MARTIGNETTI COMPANIES,18972,Schug Pnt Nr Carneros,7.09,10.99,375.0,57,404.13,47.0,516.53,131.88,2.65,144929.24,112.39999999999998,21.76059473796294,0.8245614035087719,1.2781283250439215,7.09,Large,70.9
4425,MARTIGNETTI COMPANIES,1997,Charles Goodnight Bourbon,30.93,42.99,750.0,13,402.09000000000003,21.0,902.7900000000001,558.87,16.55,144929.24,500.70000000000005,55.461402984082675,1.6153846153846154,2.2452436021786166,30.930000000000003,Medium,-247.44
7153,PINE STATE TRADING CO,6520,LeCompte Calvados 5 Yr Old,39.99,55.99,750.0,10,399.9,8.0,447.92,447.92,6.32,15884.82,48.02000000000004,10.72066440435793,0.8,1.1200800200050014,39.989999999999995,Small,79.98
9552,M S WALKER INC,21860,Le Grande Courtage Brut,10.96,19.49,750.0,36,394.56000000000006,20.0,399.79999999999995,199.89999999999998,2.24,55551.82,5.239999999999895,1.310655327663806,0.5555555555555556,1.0132806163828059,10.96,Medium,175.36
9552,M S WALKER INC,26010,Byron Pnt Nr Nielson Vyd SMV,21.76,31.99,750.0,18,391.68,14.0,447.85999999999996,255.92,1.56,55551.82,56.17999999999995,12.544098602241762,0.7777777777777778,1.1434334150326797,21.76,Medium,87.04
9552,M S WALKER INC,39581,Capostrano Montepulciano Abr,4.63,10.99,750.0,84,388.92,69.0,651.31,103.9,7.760000000000001,55551.82,262.38999999999993,40.28649951635933,0.8214285714285714,1.6746631698035583,4.63,Large,69.45
3252,E & J GALLO WINERY,20445,Barefoot Bubbly Tropical Fus,6.53,9.99,750.0,59,385.27,39.0,389.61,179.82,4.34,61966.91,4.340000000000032,1.1139344472677888,0.6610169491525424,1.0112648272639968,6.529999999999999,Large,130.6
10754,PERFECTA WINES,23780,La Chapelle Mission Haut Bri,55.03,81.99,750.0,7,385.21,9.0,737.91,491.93999999999994,1.0,28720.52,352.7,47.79715683484436,1.2857142857142858,1.9156044754809065,55.029999999999994,Small,-110.06
9552,M S WALKER INC,23990,Moncigale Rose Cd Provnce 14,8.66,12.99,750.0,44,381.03999999999996,64.0,831.36,207.84,7.15,55551.82,450.32000000000005,54.16666666666667,1.4545454545454546,2.181818181818182,8.659999999999998,Large,-173.2
10754,PERFECTA WINES,18467,K Vintners Cab Svgn Stonerid,31.75,46.99,750.0,12,381.0,11.0,516.89,234.95000000000002,1.23,28720.52,135.89,26.289926289926285,0.9166666666666666,1.3566666666666667,31.75,Medium,31.75
4425,MARTIGNETTI COMPANIES,40444,Santa Ema Reserve Merlot,8.05,11.99,750.0,47,378.34999999999997,35.0,419.65,47.96,3.94,144929.24,41.30000000000001,9.841534612176817,0.7446808510638298,1.1091581868640148,8.049999999999999,Large,96.60000000000001
1650,Circa Wines,20088,Camp Merlot Sonoma Cnty,10.45,15.99,750.0,36,376.20000000000005,24.0,383.76,31.98,2.7,211.97,7.559999999999945,1.969981238273907,0.6666666666666666,1.0200956937799042,10.450000000000001,Medium,125.39999999999999
9165,ULTRA BEVERAGE COMPANY LLP,25374,Fratelli Urciuolo Fiano,5.19,7.99,750.0,72,373.68,57.0,455.43,151.81,6.380000000000001,68054.7,81.75,17.950069165404123,0.7916666666666666,1.2187700706486833,5.19,Large,77.85000000000001
9552,M S WALKER INC,24452,Vega Sindoa 14 Chard Navarra,7.58,12.99,750.0,49,371.41999999999996,43.0,558.57,142.89000000000001,4.8100000000000005,55551.82,187.1500000000001,33.50520078056467,0.8775510204081632,1.5038770125464436,7.579999999999999,Large,45.480000000000004
3960,DIAGEO NORTH AMERICA INC,3014,Smirnoff Coconut,10.15,12.99,750.0,36,365.4,31.0,402.69,259.8,24.41,257032.07,37.29000000000002,9.260224986962681,0.8611111111111112,1.1020525451559935,10.149999999999999,Medium,50.75
7239,REMY COINTREAU USA INC,9439,Cointreau VAP,21.47,28.99,750.0,17,364.99,12.0,387.88,229.93,9.45,16978.67,22.889999999999986,5.901309683407236,0.7058823529411765,1.0627140469601906,21.47,Medium,107.35
4425,MARTIGNETTI COMPANIES,25206,Quinta do Noval 2013 Port,60.8,89.99,750.0,6,364.79999999999995,12.0,1079.8799999999999,989.89,1.32,144929.24,715.0799999999999,66.21846871874652,2.0,2.9601973684210527,60.79999999999999,Small,-364.79999999999995
