VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnOver,SalesToPurchaseRatio
17035,PERNOD RICARD USA,857,Kahlua,16.17,21.99,1000.0,20165,326068.05,7334.0,170377.66,60650.99,7700.7,123780.22,-155690.38999999998,-91.37957992849532,0.3636994792958096,0.5225217864798468
3960,DIAGEO NORTH AMERICA INC,8506,Myers Original Dark Rum,21.42,29.99,1750.0,15187,325305.54000000004,4828.0,140785.72,56479.79,8871.58,257032.07,-184519.82000000004,-131.06430112372195,0.31790347007308883,0.4327799643375271
4425,MARTIGNETTI COMPANIES,14672,Duckhorn Decoy Cab Svgn,11.61,21.99,750.0,27814,322920.54,13214.0,229502.54,46831.979999999996,1482.16,144929.24,-93417.99999999997,-40.704560393972095,0.47508448982526785,0.7107090183857615
4425,MARTIGNETTI COMPANIES,6579,J Lohr Riverstone Chard,5.8,8.99,750.0,54960,318768.0,16799.0,178325.76,33663.96,1885.5,144929.24,-140442.24,-78.75600249790045,0.30565866084425036,0.5594217738292426
3252,E & J GALLO WINERY,2164,New Amsterdam Gin,12.14,16.99,1750.0,26071,316501.94,6671.0,116784.29,56493.799999999996,12257.4,61966.91,-199717.65000000002,-171.01414068621733,0.25587817881937786,0.36898443655669216
2000,SOUTHERN WINE & SPIRITS NE,27854,F Coppola Black Label Claret,10.2,14.99,750.0,30869,314863.8,9189.0,131957.31,36076.259999999995,1029.74,19016.59,-182906.49,-138.61035057474268,0.2976772814150118,0.4190933031996692
8112,MOET HENNESSY USA INC,3682,Belvedere Vodka,16.66,22.99,750.0,18848,314007.68,5814.0,135215.86,55299.469999999994,4578.57,48347.26,-178791.82,-132.22695917475954,0.3084677419354839,0.4306132257656882
9552,M S WALKER INC,7878,Allens Coffee Brandy,9.99,15.99,1750.0,31200,311688.0,9592.0,144894.08,34343.43,17625.34,55551.82,-166793.92,-115.11437872409974,0.30743589743589744,0.46486897153563816
2561,EDRINGTON AMERICAS,1634,The Famous Grouse,20.73,29.99,1750.0,15031,311592.63,5030.0,145569.69999999998,69518.06,9242.75,9654.5,-166022.93000000002,-114.05047204191534,0.3346417404031668,0.46717953502302023
12546,JIM BEAM BRANDS COMPANY,3444,Hornitos Plata Tequila,29.13,39.99,1750.0,10636,309826.68,2760.0,97216.40000000001,65302.47,5072.3,123880.97,-212610.27999999997,-218.69795631189794,0.25949605114704777,0.31377672187559835
17035,PERNOD RICARD USA,2426,The Glenlivet 15Yr FrenchOak,41.59,51.99,750.0,7445,309637.55,2659.0,146903.41,84614.7,2094.84,123780.22,-162734.13999999998,-110.77628490720535,0.35715245130960377,0.47443667604268286
1392,CONSTELLATION BRANDS INC,32915,Kim Crawford Svgn Bl Marlbro,9.99,14.99,750.0,30842,308111.58,8242.0,124654.58,35124.8,923.36,79528.99,-183457.0,-147.17229001934786,0.2672329939692627,0.4045760954521735
4425,MARTIGNETTI COMPANIES,35412,Yellow Tail Chard Ausl,5.97,9.99,1500.0,51294,306225.18,13392.0,133073.52,33142.49,3007.77,144929.24,-173151.66,-130.11729155432278,0.2610831676219441,0.43456099854362074
3960,DIAGEO NORTH AMERICA INC,3840,Smirnoff Raspberry Vodka,14.39,22.99,1750.0,21076,303283.64,6299.0,123763.01,59768.53,11573.88,257032.07,-179520.63,-145.05192625809602,0.2988707534636553,0.40807677591841085
9552,M S WALKER INC,3769,Jenkins Vodka,7.02,9.49,1750.0,42549,298693.98,13544.0,121760.56,37326.48,24883.86,55551.82,-176933.41999999998,-145.3125872614252,0.31831535406237516,0.4076431670969733
8673,STE MICHELLE WINE ESTATES,8815,Ch Ste Michelle Chard Colmbi,6.07,8.99,750.0,48853,296537.71,15372.0,133169.78,28572.06,1724.5800000000002,15919.7,-163367.93000000002,-122.67642854106992,0.31465826049577306,0.4490821083092602
3960,DIAGEO NORTH AMERICA INC,3879,Smirnoff 80 Proof Traveler,7.91,12.99,750.0,37344,295391.04,9359.0,111381.41,49792.92,7367.41,257032.07,-184009.62999999998,-165.2067701423424,0.25061589545844043,0.37706428062272984
12546,JIM BEAM BRANDS COMPANY,1375,Jim Beam,11.5,14.49,750.0,25183,289604.5,8462.0,131059.38,58695.17,6663.0,123880.97,-158545.12,-120.97197468811464,0.3360203311757932,0.4525460757688503
8892,TRINCHERO FAMILY ESTATES,41034,Menage a Trois Red,5.26,8.99,750.0,54738,287921.88,16625.0,151231.71,36412.76,1864.02,11595.97,-136690.17,-90.38459592898872,0.3037195367021082,0.525252578928701
1128,BROWN-FORMAN CORP,1545,Gentleman Jack,19.42,29.99,750.0,14785,287124.7,4679.0,138149.21,74490.97,3685.4,68601.68,-148975.49000000002,-107.83665719116311,0.3164693946567467,0.48114707651414174
480,BACARDI USA INC,2665,Dewars White Label,15.38,19.99,750.0,18574,285668.12,4879.0,104963.20999999999,55170.899999999994,3842.9700000000003,89286.27,-180704.91,-172.16023595314968,0.2626790136750296,0.36743060443706493
1128,BROWN-FORMAN CORP,1770,Jack Daniels Tennessee Fire,26.42,38.99,1750.0,10746,283909.32,3287.0,125339.13,71209.33,6040.46,68601.68,-158570.19,-126.51291739459178,0.30588125814256467,0.44147592618657255
4425,MARTIGNETTI COMPANIES,6595,Bogle Merlot,4.48,6.95,750.0,63188,283082.24,18023.0,145525.41,31431.38,2022.2,144929.24,-137556.83,-94.5242689919238,0.2852282078875736,0.5140746731409219
1392,CONSTELLATION BRANDS INC,35472,R M Woodbridge Pnt Grigio,5.88,8.99,1500.0,47207,277577.16,14731.0,144283.69,36542.96,3308.61,79528.99,-133293.46999999997,-92.38290897605957,0.3120511788505942,0.5197966936472728
8004,SAZERAC CO INC,5105,Dr McGillicuddy's Mentholmnt,14.81,25.99,1750.0,18007,266683.67,5462.0,120809.37999999999,57166.439999999995,10036.49,50293.62,-145874.28999999998,-120.74748666039011,0.3033264841450547,0.45300629018642197
8004,SAZERAC CO INC,5153,Fireball Cinn Whisky Trav,10.44,15.99,750.0,25499,266209.56,11421.0,161461.79,57457.39,8991.97,50293.62,-104747.76999999999,-64.874649290089,0.4478999176438292,0.6065213811254563
3960,DIAGEO NORTH AMERICA INC,4368,Capt Morgan Private Stock,23.91,32.99,1750.0,11035,263846.85000000003,3425.0,120283.75,71349.7,6294.37,257032.07,-143563.10000000003,-119.35369490891333,0.3103760761214318,0.4558847301000561
3960,DIAGEO NORTH AMERICA INC,3488,Tanqueray,15.62,23.99,750.0,16740,261478.8,5164.0,112928.36,57098.49999999999,4067.0,257032.07,-148550.44,-131.5439629159584,0.30848267622461173,0.43188342611332164
3960,DIAGEO NORTH AMERICA INC,8111,Smirnoff 80 Proof,0.77,0.99,50.0,337660,259998.2,95105.0,94153.95,5698.44,4991.64,257032.07,-165844.25,-176.14157451705427,0.28165906533199075,0.3621330839982738
6213,MHW LTD,5921,RumChata Liqueur,14.81,21.99,750.0,17419,257975.38999999998,7819.0,161511.81,66024.2,6156.34,9621.58,-96463.57999999999,-59.72540336214423,0.448877662322751,0.6260744871826728
1392,CONSTELLATION BRANDS INC,40096,Black Box Cab Svgn,10.52,16.99,3000.0,24452,257235.04,6113.0,117225.87,59535.02,2750.85,79528.99,-140009.17,-119.43538572159883,0.25,0.45571501456411223
17035,PERNOD RICARD USA,2756,Jameson Caskmates,22.89,29.99,750.0,11220,256825.8,4188.0,122768.12,63680.27,3298.7400000000002,123780.22,-134057.68,-109.19584009268854,0.3732620320855615,0.4780209776432119
9165,ULTRA BEVERAGE COMPANY LLP,15094,Butter Chard,9.08,14.99,750.0,28274,256727.91999999998,8918.0,125800.14,34128.21,999.23,68054.7,-130927.77999999998,-104.0760209010896,0.31541345405673055,0.4900134741869915
8112,MOET HENNESSY USA INC,8612,Grand Marnier,45.79,67.99,1750.0,5583,255645.57,2129.0,130906.71,83400.46,3912.98,48347.26,-124738.86,-95.2883622237546,0.3813361991760702,0.5120632835530848
9815,WINE GROUP INC,6349,Glen Ellen Chard RSV,4.63,6.99,1500.0,55151,255349.13,14685.0,102648.15,26848.59,3298.6600000000003,27100.41,-152700.98,-148.76155098752392,0.2662689706442313,0.40199138332682
